XXX XXXXXXXXXXXX   X    XXxXXxXxXXxXXxX     XXXXXXXXX
020      BATALHA   1    24       F                 11
020      BATALHA   1    25       F                 10
020      BATALHA   1    26       F                 10
020      BATALHA   1    27       F                 10
021   SERRAFACAO   1    23       F                  7
021   SERRAFACAO   1    24       F                  7
021   SERRAFACAO   1    25       F                  7
021   SERRAFACAO   1    26       F                  6
021   SERRAFACAO   1    27       F                  6
024   EMBORCACAO   1    23       F                 48
024   EMBORCACAO   1    24       F                 47
024   EMBORCACAO   1    25       F                 47
024   EMBORCACAO   1    26       F                 47
024   EMBORCACAO   1    27       F                 47
025    NOVAPONTE   1    23       F                 60
025    NOVAPONTE   1    24       F                 60
025    NOVAPONTE   1    25       F                 60
025    NOVAPONTE   1    26       F                 59
025    NOVAPONTE   1    27       F                 58
026      MIRANDA   1    23       F                  2
026      MIRANDA   1    24       F                  2
026      MIRANDA   1    25       F                  2
026      MIRANDA   1    26       F                  2
026      MIRANDA   1    27       F                  2
027 CAPIMBRANCO1   1    23       F                  1
027 CAPIMBRANCO1   1    24       F                  1
027 CAPIMBRANCO1   1    25       F                  1
027 CAPIMBRANCO1   1    26       F                  1
027 CAPIMBRANCO1   1    27       F                  1
028 CAPIMBRANCO2   1    23       F                  1
028 CAPIMBRANCO2   1    24       F                  1
028 CAPIMBRANCO2   1    25       F                  1
028 CAPIMBRANCO2   1    26       F                  1
028 CAPIMBRANCO2   1    27       F                  1
031    ITUMBIARA   1    23       F                 54
031    ITUMBIARA   1    24       F                 54
031    ITUMBIARA   1    25       F                 54
031    ITUMBIARA   1    26       F                 54
031    ITUMBIARA   1    27       F                 54
032 CACH.DOURADA   1    23       F                 18
032 CACH.DOURADA   1    24       F                 18
032 CACH.DOURADA   1    25       F                 17
032 CACH.DOURADA   1    26       F                 17
032 CACH.DOURADA   1    27       F                 17
033    SAO.SIMAO   1    23       F                227
033    SAO.SIMAO   1    24       F                226
033    SAO.SIMAO   1    25       F                224
033    SAO.SIMAO   1    26       F                223
033    SAO.SIMAO   1    27       F                222
290       ESPORA   1    23       F                 41
290       ESPORA   1    24       F                 41
290       ESPORA   1    25       F                 40
290       ESPORA   1    26       F                 40
290       ESPORA   1    27       F                 40
262        SALTO   1    23       F                 67
262        SALTO   1    24       F                 66
262        SALTO   1    25       F                 66
262        SALTO   1    26       F                 66
262        SALTO   1    27       F                 66
241 S.R.VERDINHO   1    23       F                  6
241 S.R.VERDINHO   1    24       F                  6
241 S.R.VERDINHO   1    25       F                  6
241 S.R.VERDINHO   1    26       F                  6
241 S.R.VERDINHO   1    27       F                  6
311         CACU   1    23       F                 56
311         CACU   1    24       F                 56
311         CACU   1    25       F                 56
311         CACU   1    26       F                 55
311         CACU   1    27       F                 55
312  B.COQUEIROS   1    23       F                  2
312  B.COQUEIROS   1    24       F                  2
312  B.COQUEIROS   1    25       F                  2
312  B.COQUEIROS   1    26       F                  2
312  B.COQUEIROS   1    27       F                  2
315    FRIOCLARO   1    23       F                  4
315    FRIOCLARO   1    24       F                  4
315    FRIOCLARO   1    25       F                  4
315    FRIOCLARO   1    26       F                  4
315    FRIOCLARO   1    27       F                  4
034   I.SOLTEIRA   1    23       F                118
034   I.SOLTEIRA   1    24       F                118
034   I.SOLTEIRA   1    25       F                118
034   I.SOLTEIRA   1    26       F                118
034   I.SOLTEIRA   1    27       F                117
117 GUARAPIRANGA   1    23       F                  4
117 GUARAPIRANGA   1    24       F                  4
117 GUARAPIRANGA   1    25       F                  4
117 GUARAPIRANGA   1    26       F                  4
117 GUARAPIRANGA   1    27       F                  4
118     BILLINGS   1    23       F                  6
118     BILLINGS   1    24       F                  5
118     BILLINGS   1    25       F                  5
118     BILLINGS   1    26       F                  5
118     BILLINGS   1    27       F                  5
108      TRAICAO   1    23       F                  0
108      TRAICAO   1    24       F                  0
108      TRAICAO   1    25       F                  0
108      TRAICAO   1    26       F                  0
108      TRAICAO   1    27       F                  0
109     PEDREIRA   1    23       F                  0
109     PEDREIRA   1    24       F                  0
109     PEDREIRA   1    25       F                  0
109     PEDREIRA   1    26       F                  0
109     PEDREIRA   1    27       F                  0
119  HENRYBORDEN   1    23       F                  0
119  HENRYBORDEN   1    24       F                  0
119  HENRYBORDEN   1    25       F                  0
119  HENRYBORDEN   1    26       F                  0
119  HENRYBORDEN   1    27       F                  0
107      E.SOUZA   1    23       F                 23
107      E.SOUZA   1    24       F                 22
107      E.SOUZA   1    25       F                 22
107      E.SOUZA   1    26       F                 23
107      E.SOUZA   1    27       F                 22
037  BARRABONITA   1    23       F                 68
037  BARRABONITA   1    24       F                 67
037  BARRABONITA   1    25       F                 66
037  BARRABONITA   1    26       F                 66
037  BARRABONITA   1    27       F                 65
038     A.S.LIMA   1    23       F                 16
038     A.S.LIMA   1    24       F                 16
038     A.S.LIMA   1    25       F                 16
038     A.S.LIMA   1    26       F                 16
038     A.S.LIMA   1    27       F                 16
039     IBITINGA   1    23       F                 31
039     IBITINGA   1    24       F                 31
039     IBITINGA   1    25       F                 31
039     IBITINGA   1    26       F                 31
039     IBITINGA   1    27       F                 30
040    PROMISSAO   1    23       F                 22
040    PROMISSAO   1    24       F                 22
040    PROMISSAO   1    25       F                 22
040    PROMISSAO   1    26       F                 22
040    PROMISSAO   1    27       F                 22
042 NAVANHANDAVA   1    23       F                  9
042 NAVANHANDAVA   1    24       F                  9
042 NAVANHANDAVA   1    25       F                  9
042 NAVANHANDAVA   1    26       F                  9
042 NAVANHANDAVA   1    27       F                  9
043     T.IRMAOS   1    23       F                  8
043     T.IRMAOS   1    24       F                  8
043     T.IRMAOS   1    25       F                  8
043     T.IRMAOS   1    26       F                  8
043     T.IRMAOS   1    27       F                  8
045        JUPIA   1    23       F                206
045        JUPIA   1    24       F                205
045        JUPIA   1    25       F                205
045        JUPIA   1    26       F                205
045        JUPIA   1    27       F                204
153 SAO.DOMINGOS   1    23       F                 80
153 SAO.DOMINGOS   1    24       F                 80
153 SAO.DOMINGOS   1    25       F                 80
153 SAO.DOMINGOS   1    26       F                 80
153 SAO.DOMINGOS   1    27       F                 80
046  P.PRIMAVERA   1    23       F                321
046  P.PRIMAVERA   1    24       F                321
046  P.PRIMAVERA   1    25       F                321
046  P.PRIMAVERA   1    26       F                321
046  P.PRIMAVERA   1    27       F                320
047  A.A.LAYDNER   1    23       F                 44
047  A.A.LAYDNER   1    24       F                 45
047  A.A.LAYDNER   1    25       F                 45
047  A.A.LAYDNER   1    26       F                 44
047  A.A.LAYDNER   1    27       F                 43
048       PIRAJU   1    23       F                  2
048       PIRAJU   1    24       F                  2
048       PIRAJU   1    25       F                  2
048       PIRAJU   1    26       F                  2
048       PIRAJU   1    27       F                  1
049    CHAVANTES   1    23       F                 32
049    CHAVANTES   1    24       F                 31
049    CHAVANTES   1    25       F                 31
049    CHAVANTES   1    26       F                 30
049    CHAVANTES   1    27       F                 30
249     OURINHOS   1    23       F                  1
249     OURINHOS   1    24       F                  1
249     OURINHOS   1    25       F                  1
249     OURINHOS   1    26       F                  1
249     OURINHOS   1    27       F                  1
050   L.N.GARCEZ   1    23       F                 34
050   L.N.GARCEZ   1    24       F                 34
050   L.N.GARCEZ   1    25       F                 34
050   L.N.GARCEZ   1    26       F                 34
050   L.N.GARCEZ   1    27       F                 34
051    CANOAS.II   1    23       F                  3
051    CANOAS.II   1    24       F                  3
051    CANOAS.II   1    25       F                  3
051    CANOAS.II   1    26       F                  3
051    CANOAS.II   1    27       F                  3
052     CANOAS.I   1    23       F                  6
052     CANOAS.I   1    24       F                  6
052     CANOAS.I   1    25       F                  6
052     CANOAS.I   1    26       F                  6
052     CANOAS.I   1    27       F                  6
057         MAUA   1    23       F                 57
057         MAUA   1    24       F                 56
057         MAUA   1    25       F                 55
057         MAUA   1    26       F                 56
057         MAUA   1    27       F                 57
061     CAPIVARA   1    23       F                 58
061     CAPIVARA   1    24       F                 57
061     CAPIVARA   1    25       F                 56
061     CAPIVARA   1    26       F                 55
061     CAPIVARA   1    27       F                 55
062    TAQUARUCU   1    23       F                 30
062    TAQUARUCU   1    24       F                 29
062    TAQUARUCU   1    25       F                 29
062    TAQUARUCU   1    26       F                 29
062    TAQUARUCU   1    27       F                 29
063       ROSANA   1    23       F                 69
063       ROSANA   1    24       F                 69
063       ROSANA   1    25       F                 68
063       ROSANA   1    26       F                 68
063       ROSANA   1    27       F                 68
066       ITAIPU   1    23       F                583
066       ITAIPU   1    24       F                582
066       ITAIPU   1    25       F                582
066       ITAIPU   1    26       F                581
066       ITAIPU   1    27       F                583
071 STA.CLARA.PR   1    23       F                 28
071 STA.CLARA.PR   1    24       F                 28
071 STA.CLARA.PR   1    25       F                 28
071 STA.CLARA.PR   1    26       F                 29
071 STA.CLARA.PR   1    27       F                 29
072       FUNDAO   1    23       F                  2
072       FUNDAO   1    24       F                  2
072       FUNDAO   1    25       F                  2
072       FUNDAO   1    26       F                  2
072       FUNDAO   1    27       F                  2
073       JORDAO   1    23       F                  9
073       JORDAO   1    24       F                 10
073       JORDAO   1    25       F                 10
073       JORDAO   1    26       F                 10
073       JORDAO   1    27       F                 10
074   G.B.MUNHOZ   1    23       F                229
074   G.B.MUNHOZ   1    24       F                230
074   G.B.MUNHOZ   1    25       F                234
074   G.B.MUNHOZ   1    26       F                240
074   G.B.MUNHOZ   1    27       F                246
076      SEGREDO   1    23       F                 48
076      SEGREDO   1    24       F                 49
076      SEGREDO   1    25       F                 51
076      SEGREDO   1    26       F                 52
076      SEGREDO   1    27       F                 51
077 SLT.SANTIAGO   1    23       F                 13
077 SLT.SANTIAGO   1    24       F                 12
077 SLT.SANTIAGO   1    25       F                 13
077 SLT.SANTIAGO   1    26       F                 14
077 SLT.SANTIAGO   1    27       F                 14
078 SALTO.OSORIO   1    23       F                  5
078 SALTO.OSORIO   1    24       F                  5
078 SALTO.OSORIO   1    25       F                  5
078 SALTO.OSORIO   1    26       F                  6
078 SALTO.OSORIO   1    27       F                  6
082  SALTOCAXIAS   1    23       F                 32
082  SALTOCAXIAS   1    24       F                 31
082  SALTOCAXIAS   1    25       F                 33
082  SALTOCAXIAS   1    26       F                 35
082  SALTOCAXIAS   1    27       F                 35
083  BAIXOIGUACU   1    23       F                 13
083  BAIXOIGUACU   1    24       F                 12
083  BAIXOIGUACU   1    25       F                 13
083  BAIXOIGUACU   1    26       F                 14
083  BAIXOIGUACU   1    27       F                 14
278        MANSO   1    23       F                 28
278        MANSO   1    24       F                 28
278        MANSO   1    25       F                 27
278        MANSO   1    26       F                 27
278        MANSO   1    27       F                 27
304   ITIQUIRA.I   1    23       F                 29
304   ITIQUIRA.I   1    24       F                 29
304   ITIQUIRA.I   1    25       F                 29
304   ITIQUIRA.I   1    26       F                 29
304   ITIQUIRA.I   1    27       F                 29
305  ITIQUIRA.II   1    23       F                  1
305  ITIQUIRA.II   1    24       F                  1
305  ITIQUIRA.II   1    25       F                  1
305  ITIQUIRA.II   1    26       F                  1
305  ITIQUIRA.II   1    27       F                  1
281  PONTE.PEDRA   1    23       F                 56
281  PONTE.PEDRA   1    24       F                 56
281  PONTE.PEDRA   1    25       F                 56
281  PONTE.PEDRA   1    26       F                 56
281  PONTE.PEDRA   1    27       F                 56
195        JAURU   1    23       F                 48
195        JAURU   1    24       F                 48
195        JAURU   1    25       F                 48
195        JAURU   1    26       F                 48
195        JAURU   1    27       F                 48
086  BARRAGRANDE   1    23       F                134
086  BARRAGRANDE   1    24       F                125
086  BARRAGRANDE   1    25       F                130
086  BARRAGRANDE   1    26       F                153
086  BARRAGRANDE   1    27       F                175
088     SAOROQUE   1    23       F                 94
088     SAOROQUE   1    24       F                 90
088     SAOROQUE   1    25       F                 87
088     SAOROQUE   1    26       F                 89
088     SAOROQUE   1    27       F                 96
089    GARIBALDI   1    23       F                 21
089    GARIBALDI   1    24       F                 20
089    GARIBALDI   1    25       F                 19
089    GARIBALDI   1    26       F                 20
089    GARIBALDI   1    27       F                 21
090  CAMPOSNOVOS   1    23       F                 11
090  CAMPOSNOVOS   1    24       F                 11
090  CAMPOSNOVOS   1    25       F                 10
090  CAMPOSNOVOS   1    26       F                 11
090  CAMPOSNOVOS   1    27       F                 12
091   MACHADINHO   1    23       F                 80
091   MACHADINHO   1    24       F                 75
091   MACHADINHO   1    25       F                 71
091   MACHADINHO   1    26       F                 71
091   MACHADINHO   1    27       F                 75
092          ITA   1    23       F                147
092          ITA   1    24       F                141
092          ITA   1    25       F                137
092          ITA   1    26       F                138
092          ITA   1    27       F                142
093  PASSO.FUNDO   1    23       F                 21
093  PASSO.FUNDO   1    24       F                 20
093  PASSO.FUNDO   1    25       F                 20
093  PASSO.FUNDO   1    26       F                 21
