VAZOES DIARIAS PARA CADA USINA (m3/s)
NUM     NOME      itp   DI HI M DF HF M      VAZAO
XXX XXXXXXXXXXXX   X    XXxXXxXxXXxXXxX     XXXXXXXXX
017   MARIMBONDO   1    05       F                125
017   MARIMBONDO   1    06       F                124
017   MARIMBONDO   1    07       F                124
017   MARIMBONDO   1    08       F                124
017   MARIMBONDO   1    09       F                124
017   MARIMBONDO   1    10       F                124
017   MARIMBONDO   1    11       F                124
018   A.VERMELHA   1    05       F                 57
018   A.VERMELHA   1    06       F                 57
018   A.VERMELHA   1    07       F                 57
018   A.VERMELHA   1    08       F                 56
018   A.VERMELHA   1    09       F                 56
018   A.VERMELHA   1    10       F                 56
018   A.VERMELHA   1    11       F                 56
029   CORUMBA.IV   1    05       F                 22
029   CORUMBA.IV   1    06       F                 21
029   CORUMBA.IV   1    07       F                 21
029   CORUMBA.IV   1    08       F                 21
029   CORUMBA.IV   1    09       F                 21
029   CORUMBA.IV   1    10       F                 21
029   CORUMBA.IV   1    11       F                 21
203  CORUMBA.III   1    05       F                  4
203  CORUMBA.III   1    06       F                  4
203  CORUMBA.III   1    07       F                  4
203  CORUMBA.III   1    08       F                  4
203  CORUMBA.III   1    09       F                  4
203  CORUMBA.III   1    10       F                  4
203  CORUMBA.III   1    11       F                  5
030    CORUMBA.I   1    05       F                 41
030    CORUMBA.I   1    06       F                 40
030    CORUMBA.I   1    07       F                 40
030    CORUMBA.I   1    08       F                 40
030    CORUMBA.I   1    09       F                 40
030    CORUMBA.I   1    10       F                 41
030    CORUMBA.I   1    11       F                 41
020      BATALHA   1    05       F                 11
020      BATALHA   1    06       F                 10
020      BATALHA   1    07       F                 10
020      BATALHA   1    08       F                 10
020      BATALHA   1    09       F                 10
020      BATALHA   1    10       F                 10
020      BATALHA   1    11       F                 10
021   SERRAFACAO   1    05       F                  7
021   SERRAFACAO   1    06       F                  7
021   SERRAFACAO   1    07       F                  6
021   SERRAFACAO   1    08       F                  6
021   SERRAFACAO   1    09       F                  6
021   SERRAFACAO   1    10       F                  6
021   SERRAFACAO   1    11       F                  6
024   EMBORCACAO   1    05       F                 48
024   EMBORCACAO   1    06       F                 47
024   EMBORCACAO   1    07       F                 46
024   EMBORCACAO   1    08       F                 46
024   EMBORCACAO   1    09       F                 46
024   EMBORCACAO   1    10       F                 46
