&& CABEÇALHO OCUPA AS TRES PRIMEIRAS LINHAS
&&COD  NOME------|-----JAN-|-----FEV-|-----MAR-|-----ABR-|-----MAI-|-----JUN-|-----JUL-|-----AGO-|-----SET-|-----OUT-|-----NOV-|-----DEZ-|
 MESPLAN=             9 ANOPLAN=          2024
   42 XXXXXXXXXXX     534.00    556.00    555.00    357.00    226.00    259.00    276.00    235.71    338.00    705.00    567.00    574.00
   43 XXXXXXXXXXX     530.00    565.00    579.00    407.00    222.00    285.00    284.00    242.84    356.00    693.00    565.00    607.00
   44 XXXXXXXXXXX    4697.00   5109.00   5814.00   6888.00   2926.00   2546.00   2151.00   1748.23   2538.00   3101.00   2995.00   3544.00
   45 XXXXXXXXXXX    4979.00   5425.00   6140.00   7380.00   3202.00   2802.00   2390.00   1969.16   2807.00   3344.00   3229.00   3811.00
   46 XXXXXXXXXXX    5556.00   5963.00   6514.00   8525.00   3777.00   3324.00   2868.00   2441.71   3489.00   3867.00   3782.00   4427.00
   47 XXXXXXXXXXX      88.00    125.00     99.00     92.00     66.00     65.00     81.00     58.90     89.00    215.00    179.00    140.00
   48 XXXXXXXXXXX      90.00    129.00    102.00     95.00     68.00     68.00     83.00     60.61     92.00    224.00    187.00    145.00
   49 XXXXXXXXXXX     144.00    218.00    159.00    152.00    108.00    112.00    135.00     97.00    157.00    433.00    351.00    241.00
   50 XXXXXXXXXXX     193.00    285.00    219.00    209.00    149.00    152.00    184.00    137.61    211.00    499.00    430.00    326.00
   51 XXXXXXXXXXX     196.00    290.00    224.00    213.00    152.00    155.00    187.00    140.61    216.00    503.00    436.00    333.00
   52 XXXXXXXXXXX     204.00    300.00    234.00    222.00    159.00    162.00    195.00    147.39    225.00    512.00    448.00    348.00
   53 XXXXXXXXXXX       0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
   54 XXXXXXXXXXX      90.00     77.00     67.00     64.00     52.00     53.00     84.00     53.48    152.00    449.00    660.00    226.00
   55 XXXXXXXXXXX     105.00     91.00     79.00     76.00     60.00     61.00     97.00     61.45    171.00    508.00    744.00    255.00
   56 XXXXXXXXXXX       0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
   57 XXXXXXXXXXX     180.00    157.00    140.00    128.00     97.00     89.00    150.00     92.94    263.00    789.00   1185.00    405.00
   58 XXXXXXXXXXX     218.00    213.00    179.00    172.00    114.00    104.00    143.00    106.10    252.00    567.00    879.00    406.00
   59 XXXXXXXXXXX       0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
   60 XXXXXXXXXXX       0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
   61 XXXXXXXXXXX     622.00    707.00    577.00    551.00    377.00    362.00    469.00    332.52    707.00   1598.00   2131.00   1125.00
   62 XXXXXXXXXXX     656.00    745.00    617.00    595.00    414.00    401.00    508.00    366.32    746.00   1602.00   2201.00   1184.00
